"key","en","ru"
"Amulet_of_goliath_soul","Amulet of goliath soul","Амулет души голиафа"
"Amulet_of_goliath_soul_desc","Gives +2 to Vitality","+2 к Телосложению"
"Amulet_of_ifrit_soul","Amulet of ifrit soul","Амулет души ифрита"
"Amulet_of_ifrit_soul_desc","Gives +2 to Mind","+2 к Интеллекту"
"Amulet_of_cheetah_soul","Amulet of cheetah soul","Амулет души гепарда"
"Amulet_of_cheetah_soul_desc","Gives +1 to Agility","+1 к Ловкости"
"Amulet_of_oni_soul","Amulet of oni soul","Амулет души они"
"Amulet_of_oni_soul_desc","Gives +3 to Agility","+3 к Ловкости"
"Amulet_of_Recovery","Amulet of Recovery","Амулет Восстановления"
"Amulet_of_Recovery_desc","Gives +50% to Physical and Magic Portection but -50% Physical Damage","Увеличивает Физическую и Магическую Защиту на 50%, но снижает Физический Урон на 50%"
"Amulet_of_titan_soul","Amulet of titan soul","Амулет души титана"
"Amulet_of_titan_soul_desc","Gives +3 to Vitality","+3 к Телосложению"
"Amulet_of_magic","Amulet of magic","Амулет магии"
"Amulet_of_magic_desc","Gives +1 to magical damage and +2 to magical protection.","+1 к Магическому Урону и +2 к Магической Защите"
"Necklace_of_dark_heart","Necklace of dark heart","Ожерелье темного сердца "
"Necklace_of_dark_heart_desc","Gives +10 to Physical Damage, +1 to Mind, +1 to Agility, +1 Vitality","+10 к Физическому урону, +1 к Интллекту, +1 к Ловкости, +1 к Телосложению"
"Amulet_of_power","Amulet of power","Амулет силы"
"Amulet_of_power_desc","Gives +1 to physical damage and +2 to physical protection.","+1 к Физическому Урону и +2 к Физической Защите"
"Barbarian_Armor","Barbarian Armor","Варварская броня"
"Barbarian_Armor_desc","+5 to Physical Protection and +2 to Magic Protection","+5 к Физической Защите и +2 К Магической Защите"
"Chain_shirt","Chain shirt","Кольчужная рубаха"
"Chain_shirt_desc","+5 to Physical Defence","+5 к Физической Защите"
"Cityguard's_Breastplate","Cityguard's Breastplate","Нагрудник стражника"
"Cityguard's_Breastplate_desc","+6 to Physical Protection","+6 к Физической Защите"
"Highwayman_Armor","Highwayman Armor","Бандитская броня"
"Highwayman_Armor_desc","+3 to Physical Defence","+3 к Физической Защите"
"Plate_Armor","Plate Armor","Пластинчатая броня"
"Plate_Armor_desc","+8 to Physical Defence","+8 к Физической Защите "
"Leather_armor","Leather armor","Кожаная броня"
"Leather_armor_desc","Gives +2 to physical protection ","+2 к Физической Защите "
"Mail_armor","Mail armor","Кольчуга"
"Mail_armor_desc","Gives +6 to physical protection","+6 к Физической Защите "
"Hand_Crossbow","Hand Crossbow","Ручной арбалет"
"Hand_Crossbow_desc","+4 Physical Damage","+4 к Физической Защите"
"Concealed_Crossbow","Concealed Crossbow","Арбалет скрытого ношения"
"Concealed_Crossbow_desc","+7 Physical Damage","+7 к Физическому Урону"
"Crossbow_of_Silent_Killer","Crossbow of Silent Killer","Арбалет тихого убийцы"
"Crossbow_of_Silent_Killer_desc","+9 Physical Damage","+9 Физического Урона"
"Crossbow_of_Critical_Hit","Crossbow of Critical Hit","Арбалет меткого выстрела"
"Crossbow_of_Critical_Hit_desc","+12 Physical Damage","+12 к Физическому Урону"
"Assassin's_crossbow","Assassin's crossbow","Арбалет ассассина"
"Assassin's_crossbow_desc","+3 Physical Damage","+3 к Физическому Урону"
"Hunting_bow","Hunting bow","Охотничий лук"
"Hunting_bow_desc","+2 Physical Damage","+2 к Физическому Урону"
"Sharp_Dagger","Sharp Dagger","Острый кинжал"
"Sharp_Dagger_desc","+3 Physical Damage","+3 к Физическому Урону"
"Bloodthirsty_Dagger","Bloodthirsty Dagger","Кинжал жажды крови"
"Bloodthirsty_Dagger_desc","+4 Physical Damage","+4 к Физическому Урону"
"Shadow_Dagger","Shadow Dagger","Теневой кинжал"
"Shadow_Dagger_desc","+5 Physical Damage","+5 к Физическому Урону"
"Dagger_Of_Sneak_Attack","Dagger Of Sneak Attack","Кинжал удара исподтишка"
"Dagger_Of_Sneak_Attack_desc","+10 Physical Damage","+10 к Физическому Урону"
"Dagger","Dagger","Кинжал"
"Dagger_desc","+2 Physical Damage","+2 к Физическому Урону"
"Enhtropic_Sword","Enhtropic Sword","Меч энтропии"
"Enhtropic_Sword_desc","+16 Physical Damage. Lord of Decay forged this sword. Corruption!","+16 к Физическому Урону. Этот меч выковал Лорд Гниения. Разложение!"
"Orcish_Greataxe","Orcish Greataxe","Оркская секира"
"Orcish_Greataxe_desc","+16 to Physical damage and -25% to Physical protection","+16 к Физическому Урону и -25% к Физической Защите"
"Lumberjack_Axe","Lumberjack Axe","Топор дровосека "
